sector_name,sector_id,weighing,inv_depr_rate,output_per_machine,good_unit_cost,emissions_per_unit,emission_sensitivity_mean,emission_allowance
Food_&_non-alcoholic_beverages,0,0.08,0.01,1000,1,50,0.1,96000
Alcohol_&_tobacco,1,0.08,0.01,1000,1,50,0.1,35000
Clothing_&_footwear,2,0.08,0.01,1000,1,50,0.1,48000
Housing_&_household_services,3,0.08,0.01,1000,1,50,0.1,303000
Furniture_&_household_goods,4,0.08,0.01,1000,1,50,0.1,56000
Health,5,0.08,0.01,1000,1,50,0.1,18000
Transport,6,0.08,0.01,1000,1,50,0.1,111000
Communication,7,0.08,0.01,1000,1,50,0.1,19000
Recreation_&_culture,8,0.08,0.01,1000,1,50,0.1,112000
Education,9,0.08,0.01,1000,1,50,0.1,23000
Restaurants_&_hotels,10,0.08,0.01,1000,1,50,0.1,112000
Miscellaneous_goods_&_services,11,0.08,0.01,1000,1,50,0.1,67000
