Value
10.0
9.65
9.17
8.69
8.44
8.19
7.63
7.07
6.635
6.2
6.12
6.04
5.8
5.56
5.13
4.7
4.87
5.04
4.925
4.81
4.699999999999999
4.59
4.67
4.75
5.05
5.35
5.305
5.26
5.4399999999999995
5.62
6.58
7.54
7.665
7.79
7.914999999999999
8.04
7.959999999999999
7.88
7.699999999999999
7.52
6.8149999999999995
6.11
5.705
5.3
5.055
4.81
4.57
4.33
4.165
4.0
3.87
3.74
4.106
4.472
4.649
4.826
4.278
3.73
4.0425
4.355
